nation_code,nation_id
eng ENG,1
us USA,2
fr FRA,3
ma MAR,4
gh GHA,5
br BRA,6
it ITA,7
ar ARG,8
ci CIV,9
ng NGA,10
at AUT,11
am ARM,12
de GER,13
Nation,14
ch SUI,15
es ESP,16
cr CRC,17
ba BIH,18
dz ALG,19
bj BEN,20
no NOR,21
nl NED,22
py PAR,23
ga GAB,24
pt POR,25
se SWE,26
mx MEX,27
uy URU,28
sn SEN,29
pa PAN,30
dk DEN,31
sct SCO,32
rs SRB,33
jm JAM,34
ve VEN,35
il ISR,36
is ISL,37
jp JPN,38
al ALB,39
tg TOG,40
ir IRN,41
gn GUI,42
hr CRO,43
cd COD,44
gr GRE,45
cm CMR,46
zm ZAM,47
bf BFA,48
gd GRN,49
cz CZE,50
lu LUX,51
cv CPV,52
wls WAL,53
sr SUR,54
ao ANG,55
tn TUN,56
pl POL,57
sk SVK,58
gw GNB,59
si SVN,60
ml MLI,61
gm GAM,62
ro ROU,63
be BEL,64
co COL,65
nir NIR,66
cl CHI,67
ca CAN,68
nz NZL,69
ec ECU,70
tr TUR,71
ie IRL,72
zw ZIM,73
gq EQG,74
km COM,75
mq MTQ,76
mk MKD,77
ua UKR,78
ht HAI,79
eg EGY,80
do DOM,81
za RSA,82
au AUS,83
lt LTU,84
ru RUS,85
bg BUL,86
hu HUN,87
kr KOR,88
ph PHI,89
fi FIN,90
sl SLE,91
cy CYP,92
uz UZB,93
cf CTA,94
me MNE,95
ge GEO,96
mg MAD,97
mz MOZ,98
pe PER,99
hn HON,100
cg CGO,101
xk KVX,102
bi BDI,103
ke KEN,104
sy SYR,105
gf GUF,106
jo JOR,107
mt MLT,108
