stat_id,player_id,squad_id,Position,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Performance_Gls,Performance_Ast,Performance_G+A
1,1,1,DF,23,2000,20,13,1237,0,1,1
2,216,1,MF,24,1999,3,1,121,0,0,0
3,7,1,FW,23,1999,3,2,152,0,0,0
4,2122,1,MF,27,1996,29,13,1398,2,2,4
5,2408,1,"FW,MF",26,1997,13,2,282,1,1,2
6,2164,1,MF,28,1995,37,35,2907,0,5,5
7,39,1,MF,26,1997,33,32,2786,0,3,3
8,345,1,"MF,FW",25,1998,5,0,41,0,0,0
9,78,1,DF,21,2002,5,1,76,0,0,0
10,1054,1,MF,23,2000,3,0,47,0,0,0
11,95,1,DF,24,1998,23,17,1559,0,1,1
12,2706,1,DF,19,2003,28,22,1970,0,1,1
13,1914,1,"MF,FW",24,1999,32,26,1916,7,1,8
14,2415,1,DF,25,1997,10,6,617,0,1,1
15,2416,1,"FW,MF",30,1992,8,0,108,1,0,1
16,692,1,GK,34,1989,32,32,2880,0,0,0
17,2381,1,"FW,DF",21,2002,30,12,1229,1,2,3
18,2524,1,GK,26,1997,2,2,180,0,0,0
19,164,1,MF,28,1995,11,3,386,0,0,0
20,165,1,FW,19,2003,1,0,1,0,0,0
21,169,1,MF,19,2003,23,11,1014,1,1,2
22,617,1,FW,23,2000,33,25,2105,8,2,10
23,1022,1,DF,26,1997,31,26,2242,4,5,9
24,2602,1,"FW,MF",24,1999,20,7,699,2,2,4
25,174,1,DF,32,1991,28,25,2150,0,2,2
26,177,1,FW,25,1997,38,37,3325,19,3,22
27,185,1,FW,24,1999,30,25,2118,3,4,7
28,2656,1,GK,24,1999,4,4,360,0,0,0
29,2634,1,"FW,MF",26,1997,16,2,328,2,2,4
30,2686,1,DF,20,2002,37,37,3330,1,0,1
31,214,21,"MF,FW",22,2000,30,14,1267,2,2,4
32,2421,21,"FW,MF",28,1995,11,7,645,0,1,1
33,1039,21,"FW,MF",27,1996,7,0,145,1,0,1
34,1154,21,FW,32,1991,18,14,1262,4,0,4
35,745,21,DF,36,1987,7,6,460,1,0,1
36,1044,21,"FW,MF",20,2002,12,8,682,1,0,1
37,1045,21,"FW,MF",20,2002,12,8,682,1,0,1
38,1895,21,DF,25,1998,24,24,2160,2,0,2
39,1208,21,"DF,MF",29,1994,30,27,2283,6,3,9
40,1217,21,"MF,DF",29,1994,21,14,1221,1,1,2
41,1228,21,"FW,MF",22,2001,28,15,1282,5,0,5
42,1232,21,DF,25,1998,6,2,234,0,0,0
43,2308,21,DF,27,1995,21,14,1294,0,2,2
44,2142,21,FW,22,2001,18,4,486,1,0,1
45,1245,21,MF,18,2004,2,0,29,0,0,0
46,1248,21,MF,29,1994,20,18,1343,0,0,0
47,1254,21,DF,31,1992,24,20,1917,1,0,1
48,2396,21,MF,25,1998,24,13,1370,0,0,0
49,2433,21,MF,26,1996,23,10,1071,0,3,3
50,1980,21,DF,24,1999,32,31,2702,0,0,0
51,2207,21,MF,27,1996,1,0,15,1,0,1
52,227,21,FW,27,1996,1,0,27,0,0,0
53,506,21,DF,30,1993,23,8,752,0,1,1
54,2156,21,GK,30,1992,33,33,2970,0,0,0
55,2710,21,MF,24,1999,20,14,1214,1,2,3
56,1344,21,GK,31,1992,1,1,90,0,0,0
57,537,21,MF,26,1997,23,18,1572,0,0,0
58,1130,21,DF,36,1987,26,19,1646,0,2,2
59,2578,21,"FW,MF",22,2001,13,7,593,3,2,5
60,1373,21,DF,31,1991,16,16,1323,0,0,0
61,1374,21,"FW,MF",31,1992,26,17,1345,3,4,7
62,215,22,MF,19,2003,7,1,101,0,1,1
63,1151,22,"DF,MF",17,2005,4,0,28,0,0,0
64,1883,22,"MF,FW",26,1997,8,4,357,0,0,0
65,1884,22,"MF,FW",26,1997,8,4,357,0,0,0
66,1955,22,"DF,MF",26,1997,30,20,1744,1,1,2
67,1842,22,"MF,FW",20,2002,28,21,1912,2,4,6
68,1843,22,"MF,FW",20,2002,28,21,1912,2,4,6
69,220,22,"MF,DF",33,1990,6,0,18,0,1,1
70,1177,22,DF,19,2004,2,1,90,0,0,0
71,332,22,"MF,DF",22,2000,31,25,1956,5,3,8
72,342,22,FW,21,2002,14,7,716,4,2,6
73,1525,22,"FW,MF",18,2004,8,0,74,1,0,1
74,1209,22,MF,31,1992,30,23,2068,3,2,5
75,1210,22,GK,34,1988,2,2,180,0,1,1
76,2248,22,"DF,MF",39,1984,8,2,218,0,0,0
77,2306,22,"MF,FW",26,1997,4,1,200,0,0,0
78,2307,22,"MF,FW",26,1997,4,1,200,0,0,0
79,1113,22,FW,26,1997,5,5,325,0,1,1
80,1253,22,"MF,DF",21,2002,31,24,2109,7,2,9
81,1255,22,DF,27,1996,31,31,2738,2,0,2
82,393,22,FW,24,1998,2,2,153,1,0,1
83,394,22,FW,24,1998,2,2,153,1,0,1
84,2031,22,MF,19,2004,29,21,1886,2,1,3
85,1266,22,DF,28,1994,1,0,10,0,0,0
86,1267,22,DF,28,1994,1,0,10,0,0,0
87,2146,22,FW,23,2000,1,1,83,0,0,0
88,2147,22,FW,23,2000,1,1,83,0,0,0
89,2691,22,"FW,MF",24,1999,29,27,2301,12,6,18
90,449,22,"MF,FW",18,2005,8,1,177,0,0,0
91,1276,22,DF,29,1993,23,17,1350,1,2,3
92,2205,22,MF,18,2005,1,0,6,0,0,0
93,1291,22,FW,23,2000,15,2,280,0,0,0
94,1292,22,FW,23,2000,15,2,280,0,0,0
95,479,22,"DF,MF",22,2000,29,13,1309,3,2,5
96,2625,22,DF,21,2001,33,33,2970,0,3,3
97,1872,22,"MF,FW",23,1999,10,0,147,0,0,0
98,1327,22,MF,32,1990,8,1,61,0,0,0
99,2437,22,MF,28,1995,27,24,2168,2,2,4
100,2323,22,DF,22,2000,11,3,347,1,0,1
101,1367,22,GK,33,1990,32,32,2880,0,0,0
102,713,22,DF,24,1999,30,30,2600,1,2,3
103,239,39,FW,17,2006,1,0,4,0,0,0
104,2118,39,DF,27,1996,16,10,997,3,2,5
105,1948,39,FW,34,1989,34,30,2622,17,8,25
106,961,39,DF,24,1999,27,26,2271,2,0,2
107,1465,39,GK,28,1995,2,1,121,0,0,0
108,308,39,DF,30,1992,27,25,2068,3,4,7
109,973,39,"FW,MF",28,1994,12,6,430,0,0,0
110,2667,39,"DF,MF",18,2004,1,0,25,0,0,0
111,1400,39,DF,27,1996,13,10,906,0,0,0
112,359,39,DF,29,1993,21,20,1726,3,0,3
113,368,39,MF,24,1999,2,0,19,0,0,0
114,2090,39,"MF,DF",24,1999,15,9,765,1,0,1
115,581,39,"MF,FW",26,1997,28,21,1821,1,2,3
116,660,39,"FW,DF",21,2001,15,8,784,1,0,1
117,2729,39,MF,30,1993,26,15,1463,0,0,0
118,677,39,DF,25,1998,14,14,1235,0,0,0
119,1616,39,GK,28,1994,33,33,2939,0,0,0
120,2558,39,MF,19,2003,1,0,1,0,0,0
121,2333,39,DF,28,1994,25,25,2207,2,2,4
122,1061,39,DF,21,2001,16,6,638,0,0,0
123,461,39,DF,21,2002,10,8,703,0,1,1
124,2366,39,"MF,DF",19,2004,5,2,177,0,0,0
125,474,39,"MF,FW",19,2003,5,1,113,0,0,0
126,2102,39,"FW,MF",23,2000,30,19,1618,3,3,6
127,2369,39,MF,23,2000,13,5,566,1,0,1
128,589,39,MF,23,2000,21,15,1209,2,0,2
129,2370,39,FW,23,2000,13,5,547,3,1,4
130,503,39,MF,28,1994,10,10,851,0,0,0
