player_id,player_name,nation_id,birth_year,position
1,Max Aarons,1,2000,DF
2,Tammy Abraham,1,1997,FW
3,Joshua Acheampong,1,2006,DF
4,Tosin Adarabioyo,1,1997,DF
5,Elijah Adebayo,1,1998,FW
6,Trent Alexander-Arnold,1,1998,DF
7,Jaidon Anthony,1,1999,FW
8,Oliver Arblaster,1,2004,MF
9,Cameron Archer,1,2001,"FW,MF"
10,Cameron Archer,1,2001,MF
11,Ross Barkley,1,1993,MF
12,Harvey Barnes,1,1997,"FW,MF"
13,Chris Basham,1,1988,"DF,MF"
14,Jude Bellingham,1,2003,MF
15,Daniel Bentley,1,1993,GK
16,Luke Berry,1,1992,"MF,DF"
17,Benicio Boaitey,1,2004,"FW,DF"
18,Jayden Bogle,1,2000,DF
19,Jarrod Bowen,1,1996,FW
20,Jarrad Branthwaite,1,2002,DF
21,Rhian Brewster,1,2000,"FW,MF"
22,Andre Brooks,1,2003,"MF,DF"
23,Josh Brownhill,1,1995,MF
24,Reece Burke,1,1996,DF
25,Dan Burn,1,1992,DF
26,Mason Burstow,1,2003,FW
27,Jamie Bynoe-Gittens,1,2004,"FW,MF"
28,Dominic Calvert-Lewin,1,1997,FW
29,Kaelan Casey,1,2004,DF
30,Trevoh Chalobah,1,1999,DF
31,Calum Chambers,1,1995,"MF,DF"
32,Ben Chilwell,1,1996,DF
33,Leon Chiwome,1,2006,FW
34,Carney Chukwuemeka,1,2003,"MF,FW"
35,Bobby Clark,1,2005,MF
36,Jordan Clark,1,1993,MF
37,Nathaniel Clyne,1,1991,DF
38,Levi Colwill,1,2003,DF
39,Lewis Cook,1,1997,MF
40,Jack Cork,1,1989,MF
41,Aaron Cresswell,1,1989,"DF,FW"
42,Jayden Danns,1,2006,FW
43,Josh Dasilva,1,1998,"DF,FW"
44,Tom Davies,1,1998,MF
45,Keinan Davis,1,1998,"FW,MF"
46,Craig Dawson,1,1990,DF
47,Amadou Diallo,1,2003,MF
48,Eric Dier,1,1994,DF
49,Lewis Dobbin,1,2003,MF
50,Jamie Donley,1,2005,FW
51,Alfie Doughty,1,1999,DF
52,Tommy Doyle,1,2001,MF
53,Lewis Dunk,1,1991,DF
54,George Earthy,1,2004,FW
55,Harvey Elliott,1,2003,"MF,FW"
56,Eberechi Eze,1,1998,"MF,FW"
57,Phil Foden,1,2000,"FW,MF"
58,Wes Foderingham,1,1991,GK
59,Omari Forson,1,2004,FW
60,Conor Gallagher,1,2000,MF
61,James Garner,1,2001,MF
62,Morgan Gibbs-White,1,2000,"MF,FW"
63,Alfie Gilchrist,1,2003,DF
64,Ben Godfrey,1,1998,DF
65,Angel Gomes,1,2000,MF
66,Joe Gomez,1,1997,DF
67,Anthony Gordon,1,2001,FW
68,Kaide Gordon,1,2004,FW
69,Daniel Gore,1,2004,MF
70,Jack Grealish,1,1995,"FW,MF"
71,Mason Greenwood,1,2001,"MF,FW"
72,Marc Guehi,1,2000,DF
73,Antwoine Hackford,1,2004,FW
74,Lewis Hall,1,2004,DF
75,Jack Harrison,1,1996,"MF,FW"
76,Dean Henderson,1,1997,GK
77,Rico Henry,1,1997,DF
78,James Hill,1,2002,DF
79,Jack Hinshelwood,1,2005,DF
80,Mason Holgate,1,1996,DF
81,Callum Hudson-Odoi,1,2000,"FW,MF"
82,Will Hughes,1,1995,MF
83,Samuel Iling-Junior,1,2003,"DF,MF"
84,Danny Ings,1,1992,FW
85,Tim Iroegbunam,1,2003,MF
86,Reece James,1,1999,DF
87,Daniel Jebbison,1,2003,FW
88,Ryan John Giles,1,2000,"DF,MF"
89,Ben Johnson,1,2000,"DF,FW"
90,Joseph Johnson,1,2006,DF
91,Sam Johnstone,1,1993,GK
92,Curtis Jones,1,2001,MF
93,Harry Kane,1,1993,FW
94,Michael Keane,1,1993,DF
95,Lloyd Kelly,1,1998,DF
96,Omari Kellyman,1,2005,FW
97,Kaine Kesler-Hayden,1,2002,"MF,DF"
98,Max Kilman,1,1997,DF
99,Ezri Konsa,1,1997,DF
100,Adam Lallana,1,1988,"MF,FW"
101,Jamaal Lascelles,1,1993,DF
102,Rico Lewis,1,2004,"DF,MF"
103,Keane Lewis-Potter,1,2001,"FW,DF"
104,Valentino Livramento,1,2002,DF
105,Ruben Loftus-Cheek,1,1996,MF
106,Sean Longstaff,1,1997,MF
107,Max Lowe,1,1997,"DF,MF"
108,James Maddison,1,1996,MF
109,Noni Madueke,1,2002,FW
110,Harry Maguire,1,1993,DF
111,Kobbie Mainoo,1,2005,MF
112,Ainsley Maitland-Niles,1,1997,"DF,MF"
113,Solly March,1,1994,"FW,DF"
114,Alex Matos,1,2004,MF
115,Remi Matthews,1,1994,GK
116,James Mcatee,1,2002,"MF,FW"
117,James Mcatee,1,2002,MF
118,James McConnell,1,2004,MF
119,Dwight McNeil,1,1999,"MF,FW"
120,Ben Mee,1,1989,DF
121,Teden Mengi,1,2002,DF
122,Lewis Miley,1,2006,MF
123,James Milner,1,1986,"DF,MF"
124,Tyrone Mings,1,1993,DF
125,Tyrick Mitchell,1,1999,"DF,MF"
126,Mikey Moore,1,2007,MF
127,Carlton Morris,1,1995,"FW,MF"
128,Mason Mount,1,1999,"MF,FW"
129,Divin Mubama,1,2004,FW
130,Finley Munroe,1,2005,MF
131,Jacob Murphy,1,1995,"FW,DF"
132,Michael Ndiweni,1,2003,FW
133,Reiss Nelson,1,1999,FW
134,Zack Nelson,1,2004,"MF,DF"
135,Eddie Nketiah,1,1999,FW
136,Ethan Nwaneri,1,2007,FW
137,Odeluga Offiah,1,2002,DF
138,Michael Olakigbe,1,2004,"DF,FW"
139,Tyler Onyango,1,2003,MF
140,Fred Onyedinma,1,1996,"DF,MF"
141,Ben Osborn,1,1994,"DF,MF"
142,David Ozoh,1,2005,"MF,DF"
143,Cole Palmer,1,2002,"FW,MF"
144,Cole Palmer,1,2002,MF
145,Ben Parkinson,1,2005,FW
146,Myles Peart-Harris,1,2002,"DF,MF"
147,Sydie Peck,1,2004,MF
148,Kalvin Phillips,1,1995,MF
149,Jaden Philogene Bidace,1,2002,FW
150,Jordan Pickford,1,1994,GK
151,Nick Pope,1,1992,GK
152,Jarell Quansah,1,2003,DF
153,Jesurun Rak Sakyi,1,2002,"MF,FW"
154,Aaron Ramsdale,1,1998,GK
155,Aaron Ramsey,1,2003,"MF,FW"
156,Jacob Ramsey,1,2001,"FW,MF"
157,Marcus Rashford,1,1997,FW
158,Nathan Redmond,1,1994,"FW,MF"
159,Harrison Reed,1,1995,MF
160,Declan Rice,1,1999,MF
161,Jack Robinson,1,1993,DF
162,Jay Rodriguez,1,1989,FW
163,Morgan Rogers,1,2002,"MF,FW"
164,Joe Rothwell,1,1995,MF
165,Dominic Sadi,1,2003,FW
166,Bukayo Saka,1,2001,FW
167,Jadon Sancho,1,2000,"FW,MF"
168,Dane Scarlett,1,2004,FW
169,Alex Scott,1,2003,MF
170,Luke Shaw,1,1995,DF
171,James Shea,1,1991,GK
172,Oliver Skipp,1,2000,"MF,DF"
173,Chris Smalling,1,1989,DF
174,Adam Smith,1,1991,DF
175,Emile Smith Rowe,1,2000,MF
176,Emran Soglo,1,2005,"MF,DF"
177,Dominic Solanke,1,1997,FW
178,Djed Spence,1,2000,DF
179,Jason Steele,1,1990,GK
180,Raheem Sterling,1,1994,"FW,MF"
181,John Stones,1,1994,"DF,MF"
182,Matt Targett,1,1995,DF
183,James Tarkowski,1,1992,DF
184,Jimi Tauriainen,1,2004,FW
185,Marcus Tavernier,1,1999,FW
186,Charlie Taylor,1,1993,DF
187,Luke Thomas,1,2001,DF
188,Harry Toffolo,1,1995,DF
189,James Tomkins,1,1989,DF
190,Fikayo Tomori,1,1997,DF
191,Ivan Toney,1,1996,FW
192,Andros Townsend,1,1991,"MF,FW"
193,James Trafford,1,2002,GK
194,Kieran Trippier,1,1990,DF
195,Kyle Walker,1,1990,DF
196,Aaron Wan-Bissaka,1,1997,DF
197,Joel Ward,1,1989,DF
198,James Ward-Prowse,1,1994,MF
199,Lewis Warrington,1,2002,FW
200,Ollie Watkins,1,1995,FW
201,Adam Webster,1,1995,DF
202,Danny Welbeck,1,1990,"FW,MF"
203,Adam Wharton,1,2004,MF
204,Ethan Wheatley,1,2006,FW
205,Ben White,1,1997,DF
206,Joe White,1,2002,MF
207,Joe Willock,1,1999,MF
208,Callum Wilson,1,1992,FW
209,Josh Wilson-Esbrand,1,2002,"DF,MF"
210,Cauley Woodrow,1,1994,"FW,MF"
211,Joe Worrall,1,1997,DF
212,Ryan Yates,1,1997,MF
213,Ashley Young,1,1985,"DF,MF"
214,Brenden Aaronson,2,2000,"MF,FW"
215,Paxten Aaronson,2,2003,MF
216,Tyler Adams,2,1999,MF
217,Folarin Balogun,2,2001,FW
218,John Brooks,2,1993,DF
219,Johnny Cardoso,2,2001,MF
220,Timothy Chandler,2,1990,"MF,DF"
221,Joel Imasuen,2,2004,FW
222,Luca de la Torre,2,1998,MF
223,Lennard Maloney,2,1999,MF
224,Weston McKennie,2,1998,"MF,DF"
